speech_interval_msec,speaker_label,speech_T,speech_P,speech_A
"[244500, 245000]",1,0,0,1
"[245000, 246000]",3,1,0,0
"[246000, 246000]",2,0,1,0
"[246000, 247500]",1,0,0,1
"[247500, 249000]",3,1,0,0
"[249000, 251500]",1,0,0,1
"[251500, 254000]",3,1,0,0
"[254000, 256000]",1,0,0,1
"[256000, 258500]",2,0,1,0
"[258500, 259500]",3,1,0,0
"[259500, 260000]",1,0,0,1
"[260000, 263500]",2,0,1,0
"[263500, 268000]",1,0,0,1
"[268000, 268500]",2,0,1,0
"[268500, 269500]",1,0,0,1
"[269500, 270000]",2,0,1,0
"[270000, 270500]",1,0,0,1
"[270500, 271000]",3,1,0,0
"[271000, 272000]",2,0,1,0
"[272000, 272500]",1,0,0,1
"[272500, 274000]",3,1,0,0
"[274000, 274000]",1,0,0,1
"[274000, 275500]",3,1,0,0
"[275500, 276500]",1,0,0,1
"[276500, 278000]",2,0,1,0
"[278000, 278500]",3,1,0,0
"[278500, 279500]",1,0,0,1
"[279500, 280500]",3,1,0,0
"[280500, 281500]",2,0,1,0
"[281500, 282500]",3,1,0,0
"[282500, 288000]",2,0,1,0
"[288000, 288500]",1,0,0,1
"[288500, 291000]",3,1,0,0
"[291000, 291500]",1,0,0,1
"[291500, 295000]",3,1,0,0
"[295000, 296000]",2,0,1,0
"[296000, 299000]",3,1,0,0
"[299000, 299500]",2,0,1,0
"[299500, 300500]",3,1,0,0
"[300500, 301500]",2,0,1,0
"[301500, 302500]",3,1,0,0
"[302500, 303000]",1,0,0,1
"[303000, 303000]",3,1,0,0
"[303000, 305500]",1,0,0,1
"[305500, 306000]",3,1,0,0
"[306000, 306500]",1,0,0,1
"[306500, 307000]",2,0,1,0
"[307000, 308500]",3,1,0,0
"[308500, 309500]",1,0,0,1
"[309500, 311500]",3,1,0,0
"[311500, 314500]",2,0,1,0
"[314500, 315500]",3,1,0,0
"[315500, 316000]",1,0,0,1
"[316000, 319000]",3,1,0,0
"[319000, 322500]",1,0,0,1
"[322500, 324500]",3,1,0,0
"[324500, 332000]",1,0,0,1
"[332000, 333000]",2,0,1,0
"[333000, 334500]",1,0,0,1
"[334500, 335000]",2,0,1,0
"[335000, 337500]",1,0,0,1
"[337500, 339000]",2,0,1,0
"[339000, 340000]",3,1,0,0
"[340000, 340500]",1,0,0,1
"[340500, 341500]",3,1,0,0
"[341500, 342000]",1,0,0,1
"[342000, 342500]",3,1,0,0
"[342500, 343500]",1,0,0,1
"[343500, 344000]",3,1,0,0
"[344000, 347000]",1,0,0,1
"[347000, 347000]",3,1,0,0
"[347000, 348500]",1,0,0,1
"[348500, 349000]",3,1,0,0
"[349000, 349500]",1,0,0,1
"[349500, 350000]",2,0,1,0
"[350000, 353000]",3,1,0,0
"[353000, 353500]",2,0,1,0
"[353500, 354500]",3,1,0,0
"[354500, 355000]",1,0,0,1
"[355000, 357000]",2,0,1,0
"[357000, 360000]",1,0,0,1
"[360000, 361000]",2,0,1,0
"[361000, 361000]",3,1,0,0
"[361000, 362500]",1,0,0,1
"[362500, 364500]",2,0,1,0
"[364500, 367500]",1,0,0,1
"[367500, 369500]",2,0,1,0
"[369500, 371000]",1,0,0,1
"[371000, 372000]",2,0,1,0
"[372000, 373500]",1,0,0,1
"[373500, 374000]",2,0,1,0
"[374000, 375000]",1,0,0,1
"[375000, 380000]",2,0,1,0
"[380000, 381500]",3,1,0,0
"[381500, 383000]",1,0,0,1
"[383000, 383500]",2,0,1,0
"[383500, 385000]",1,0,0,1
"[385000, 388000]",2,0,1,0
"[388000, 388500]",1,0,0,1
"[388500, 390000]",2,0,1,0
"[390000, 393000]",3,1,0,0
"[393000, 395000]",2,0,1,0
"[395000, 397500]",3,1,0,0
"[397500, 398000]",1,0,0,1
"[398000, 401500]",3,1,0,0
"[401500, 403000]",2,0,1,0
"[403000, 403500]",3,1,0,0
"[403500, 404000]",1,0,0,1
"[404000, 405500]",3,1,0,0
"[405500, 407500]",2,0,1,0
"[407500, 412000]",3,1,0,0
"[412000, 412500]",1,0,0,1
"[412500, 412500]",2,0,1,0
"[412500, 413500]",3,1,0,0
"[413500, 415000]",1,0,0,1
"[415000, 418500]",2,0,1,0
"[418500, 419000]",1,0,0,1
"[419000, 419500]",3,1,0,0
"[419500, 420500]",2,0,1,0
"[420500, 421500]",3,1,0,0
