,aruco_IDs,aruco_Corners,Timestamps
52,[[4]],"(array([[[900., 740.],
        [995., 742.],
        [990., 836.],
        [896., 834.]]], dtype=float32),)",2084
53,[[4]],"(array([[[900., 740.],
        [996., 743.],
        [990., 836.],
        [897., 834.]]], dtype=float32),)",2124
54,[[4]],"(array([[[900., 739.],
        [996., 742.],
        [990., 835.],
        [897., 834.]]], dtype=float32),)",2164
55,[[4]],"(array([[[900., 740.],
        [996., 742.],
        [990., 836.],
        [896., 834.]]], dtype=float32),)",2204
56,[[4]],"(array([[[902., 741.],
        [998., 743.],
        [993., 837.],
        [899., 836.]]], dtype=float32),)",2244
57,[[4]],"(array([[[903., 742.],
        [999., 745.],
        [994., 838.],
        [899., 837.]]], dtype=float32),)",2284
58,[[4]],"(array([[[902., 743.],
        [997., 746.],
        [992., 839.],
        [898., 838.]]], dtype=float32),)",2324
59,[[4]],"(array([[[901., 745.],
        [997., 748.],
        [991., 841.],
        [897., 839.]]], dtype=float32),)",2364
60,[[4]],"(array([[[901., 747.],
        [997., 749.],
        [992., 843.],
        [898., 841.]]], dtype=float32),)",2404
61,[[4]],"(array([[[904., 747.],
        [999., 749.],
        [994., 843.],
        [900., 841.]]], dtype=float32),)",2444
62,[[4]],"(array([[[ 905.,  747.],
        [1001.,  750.],
        [ 996.,  843.],
        [ 902.,  842.]]], dtype=float32),)",2484
63,[[4]],"(array([[[ 904.,  747.],
        [1000.,  750.],
        [ 994.,  843.],
        [ 901.,  842.]]], dtype=float32),)",2524
64,"[[  4]
 [190]]","(array([[[902., 747.],
        [998., 749.],
        [992., 843.],
        [898., 840.]]], dtype=float32), array([[[1164.,   90.],
        [1491.,  113.],
        [1429.,  159.],
        [1123.,  137.]]], dtype=float32))",2564
65,[[4]],"(array([[[901., 747.],
        [997., 749.],
        [992., 842.],
        [897., 840.]]], dtype=float32),)",2604
66,[[4]],"(array([[[901., 747.],
        [997., 749.],
        [992., 842.],
        [897., 840.]]], dtype=float32),)",2644
67,[[4]],"(array([[[901., 747.],
        [997., 749.],
        [992., 843.],
        [898., 841.]]], dtype=float32),)",2684
68,[[4]],"(array([[[902., 748.],
        [998., 750.],
        [993., 844.],
        [898., 842.]]], dtype=float32),)",2724
69,[[4]],"(array([[[902., 750.],
        [998., 752.],
        [993., 846.],
        [899., 844.]]], dtype=float32),)",2765
70,[[4]],"(array([[[903., 751.],
        [999., 754.],
        [994., 848.],
        [899., 846.]]], dtype=float32),)",2805
71,[[4]],"(array([[[903., 751.],
        [999., 753.],
        [994., 847.],
        [899., 844.]]], dtype=float32),)",2845
72,[[4]],"(array([[[903., 748.],
        [999., 750.],
        [994., 844.],
        [899., 841.]]], dtype=float32),)",2885
73,[[4]],"(array([[[903., 746.],
        [999., 748.],
        [994., 841.],
        [900., 840.]]], dtype=float32),)",2925
74,[[4]],"(array([[[ 904.,  744.],
        [1000.,  746.],
        [ 996.,  839.],
        [ 901.,  838.]]], dtype=float32),)",2965
75,[[4]],"(array([[[ 905.,  744.],
        [1001.,  747.],
        [ 996.,  840.],
        [ 902.,  839.]]], dtype=float32),)",3005
76,[[4]],"(array([[[ 907.,  745.],
        [1003.,  748.],
        [ 996.,  842.],
        [ 903.,  840.]]], dtype=float32),)",3045
77,[[4]],"(array([[[ 907.,  746.],
        [1003.,  749.],
        [ 998.,  843.],
        [ 903.,  840.]]], dtype=float32),)",3085
78,[[4]],"(array([[[ 907.,  746.],
        [1003.,  749.],
        [ 998.,  842.],
        [ 903.,  840.]]], dtype=float32),)",3125
79,[[4]],"(array([[[ 907.,  746.],
        [1003.,  749.],
        [ 998.,  842.],
        [ 903.,  840.]]], dtype=float32),)",3165
80,[[4]],"(array([[[ 908.,  746.],
        [1003.,  749.],
        [ 998.,  842.],
        [ 904.,  841.]]], dtype=float32),)",3206
81,[[4]],"(array([[[ 907.,  746.],
        [1002.,  749.],
        [ 996.,  843.],
        [ 903.,  841.]]], dtype=float32),)",3246
82,[[4]],"(array([[[ 906.,  746.],
        [1002.,  749.],
        [ 997.,  842.],
        [ 903.,  841.]]], dtype=float32),)",3286
83,[[4]],"(array([[[ 906.,  746.],
        [1002.,  749.],
        [ 997.,  842.],
        [ 903.,  840.]]], dtype=float32),)",3326
84,[[4]],"(array([[[ 906.,  746.],
        [1002.,  749.],
        [ 997.,  842.],
        [ 903.,  840.]]], dtype=float32),)",3366
85,[[4]],"(array([[[ 906.,  746.],
        [1002.,  750.],
        [ 996.,  843.],
        [ 902.,  840.]]], dtype=float32),)",3406
86,[[4]],"(array([[[ 906.,  747.],
        [1002.,  750.],
        [ 996.,  844.],
        [ 902.,  841.]]], dtype=float32),)",3446
87,[[4]],"(array([[[ 906.,  749.],
        [1002.,  752.],
        [ 997.,  845.],
        [ 903.,  844.]]], dtype=float32),)",3486
88,[[4]],"(array([[[ 905.,  750.],
        [1001.,  752.],
        [ 996.,  846.],
        [ 902.,  844.]]], dtype=float32),)",3526
89,[[4]],"(array([[[ 905.,  750.],
        [1001.,  752.],
        [ 996.,  846.],
        [ 901.,  843.]]], dtype=float32),)",3566
90,[[4]],"(array([[[ 905.,  749.],
        [1001.,  752.],
        [ 996.,  845.],
        [ 901.,  843.]]], dtype=float32),)",3606
91,[[4]],"(array([[[ 906.,  749.],
        [1001.,  752.],
        [ 995.,  846.],
        [ 901.,  843.]]], dtype=float32),)",3646
92,[[4]],"(array([[[ 905.,  750.],
        [1001.,  753.],
        [ 996.,  846.],
        [ 901.,  844.]]], dtype=float32),)",3686
93,[[4]],"(array([[[ 905.,  751.],
        [1001.,  754.],
        [ 996.,  846.],
        [ 901.,  844.]]], dtype=float32),)",3726
94,[[4]],"(array([[[ 905.,  751.],
        [1001.,  754.],
        [ 996.,  846.],
        [ 901.,  844.]]], dtype=float32),)",3766
95,[[4]],"(array([[[ 905.,  751.],
        [1000.,  753.],
        [ 996.,  846.],
        [ 901.,  845.]]], dtype=float32),)",3806
96,[[4]],"(array([[[ 904.,  751.],
        [1000.,  754.],
        [ 995.,  847.],
        [ 900.,  844.]]], dtype=float32),)",3847
97,[[4]],"(array([[[ 904.,  751.],
        [1000.,  754.],
        [ 995.,  847.],
        [ 900.,  844.]]], dtype=float32),)",3887
98,[[4]],"(array([[[ 905.,  751.],
        [1000.,  754.],
        [ 996.,  847.],
        [ 901.,  845.]]], dtype=float32),)",3927
99,[[4]],"(array([[[ 905.,  751.],
        [1000.,  753.],
        [ 996.,  847.],
        [ 901.,  845.]]], dtype=float32),)",3967
100,[[4]],"(array([[[ 904.,  751.],
        [1000.,  753.],
        [ 996.,  847.],
        [ 901.,  845.]]], dtype=float32),)",4007
101,[[4]],"(array([[[ 904.,  751.],
        [1001.,  753.],
        [ 996.,  847.],
        [ 901.,  844.]]], dtype=float32),)",4047
102,[[4]],"(array([[[ 905.,  751.],
        [1001.,  753.],
        [ 996.,  847.],
        [ 902.,  845.]]], dtype=float32),)",4087
103,[[4]],"(array([[[ 906.,  752.],
        [1002.,  754.],
        [ 997.,  848.],
        [ 903.,  846.]]], dtype=float32),)",4127
104,[[4]],"(array([[[ 905.,  754.],
        [1001.,  756.],
        [ 996.,  850.],
        [ 902.,  848.]]], dtype=float32),)",4167
105,[[4]],"(array([[[ 905.,  755.],
        [1001.,  757.],
        [ 996.,  851.],
        [ 901.,  849.]]], dtype=float32),)",4207
106,[[4]],"(array([[[ 906.,  756.],
        [1002.,  758.],
        [ 997.,  852.],
        [ 902.,  850.]]], dtype=float32),)",4247
107,[[4]],"(array([[[ 907.,  757.],
        [1003.,  760.],
        [ 997.,  854.],
        [ 903.,  852.]]], dtype=float32),)",4288
