Timestamps,aruco_IDs,aruco_Corners
1883,[[4]],"(array([[[1041.,  804.],
        [1153.,  809.],
        [1149.,  916.],
        [1039.,  908.]]], dtype=float32),)"
1923,[[4]],"(array([[[1041.,  804.],
        [1153.,  808.],
        [1150.,  916.],
        [1040.,  909.]]], dtype=float32),)"
1963,[[4]],"(array([[[1042.,  803.],
        [1154.,  809.],
        [1150.,  915.],
        [1040.,  909.]]], dtype=float32),)"
2003,[[4]],"(array([[[1042.,  803.],
        [1153.,  808.],
        [1150.,  915.],
        [1039.,  908.]]], dtype=float32),)"
2043,[[4]],"(array([[[1041.,  803.],
        [1153.,  808.],
        [1150.,  915.],
        [1039.,  908.]]], dtype=float32),)"
2083,[[4]],"(array([[[1042.,  803.],
        [1153.,  808.],
        [1150.,  915.],
        [1040.,  909.]]], dtype=float32),)"
2123,[[4]],"(array([[[1043.,  803.],
        [1154.,  809.],
        [1150.,  915.],
        [1040.,  909.]]], dtype=float32),)"
2164,[[4]],"(array([[[1041.,  804.],
        [1153.,  808.],
        [1150.,  916.],
        [1039.,  908.]]], dtype=float32),)"
2204,[[4]],"(array([[[1042.,  804.],
        [1153.,  809.],
        [1150.,  916.],
        [1040.,  910.]]], dtype=float32),)"
2244,[[4]],"(array([[[1042.,  804.],
        [1153.,  809.],
        [1150.,  916.],
        [1040.,  910.]]], dtype=float32),)"
2284,[[4]],"(array([[[1042.,  804.],
        [1153.,  809.],
        [1150.,  916.],
        [1040.,  910.]]], dtype=float32),)"
2324,[[4]],"(array([[[1041.,  804.],
        [1153.,  808.],
        [1150.,  915.],
        [1039.,  908.]]], dtype=float32),)"
2364,[[4]],"(array([[[1042.,  803.],
        [1153.,  808.],
        [1150.,  915.],
        [1040.,  909.]]], dtype=float32),)"
2404,[[4]],"(array([[[1040.,  804.],
        [1152.,  808.],
        [1149.,  915.],
        [1039.,  909.]]], dtype=float32),)"
2444,[[4]],"(array([[[1041.,  804.],
        [1152.,  810.],
        [1149.,  916.],
        [1038.,  910.]]], dtype=float32),)"
2484,[[4]],"(array([[[1041.,  805.],
        [1152.,  810.],
        [1149.,  917.],
        [1038.,  911.]]], dtype=float32),)"
2524,[[4]],"(array([[[1041.,  806.],
        [1153.,  811.],
        [1149.,  918.],
        [1038.,  910.]]], dtype=float32),)"
2564,[[4]],"(array([[[1042.,  806.],
        [1153.,  812.],
        [1149.,  919.],
        [1039.,  912.]]], dtype=float32),)"
2604,[[4]],"(array([[[1042.,  806.],
        [1153.,  812.],
        [1150.,  919.],
        [1040.,  912.]]], dtype=float32),)"
2644,[[4]],"(array([[[1042.,  806.],
        [1153.,  812.],
        [1149.,  919.],
        [1039.,  911.]]], dtype=float32),)"
2684,[[4]],"(array([[[1042.,  806.],
        [1153.,  812.],
        [1150.,  918.],
        [1039.,  911.]]], dtype=float32),)"
2724,[[4]],"(array([[[1042.,  805.],
        [1153.,  811.],
        [1150.,  917.],
        [1039.,  911.]]], dtype=float32),)"
2764,[[4]],"(array([[[1042.,  804.],
        [1153.,  810.],
        [1150.,  917.],
        [1039.,  910.]]], dtype=float32),)"
2804,[[4]],"(array([[[1042.,  804.],
        [1154.,  810.],
        [1150.,  917.],
        [1039.,  909.]]], dtype=float32),)"
2845,[[4]],"(array([[[1042.,  805.],
        [1154.,  810.],
        [1150.,  917.],
        [1040.,  910.]]], dtype=float32),)"
2885,[[4]],"(array([[[1043.,  805.],
        [1154.,  811.],
        [1151.,  918.],
        [1040.,  911.]]], dtype=float32),)"
2925,[[4]],"(array([[[1043.,  806.],
        [1155.,  812.],
        [1150.,  919.],
        [1040.,  912.]]], dtype=float32),)"
2965,[[4]],"(array([[[1043.,  806.],
        [1155.,  812.],
        [1150.,  919.],
        [1040.,  912.]]], dtype=float32),)"
3005,[[4]],"(array([[[1043.,  806.],
        [1155.,  812.],
        [1150.,  919.],
        [1040.,  911.]]], dtype=float32),)"
3045,[[4]],"(array([[[1043.,  806.],
        [1155.,  812.],
        [1150.,  919.],
        [1040.,  911.]]], dtype=float32),)"
3085,[[4]],"(array([[[1042.,  806.],
        [1155.,  812.],
        [1151.,  918.],
        [1040.,  911.]]], dtype=float32),)"
3125,[[4]],"(array([[[1044.,  805.],
        [1155.,  812.],
        [1151.,  918.],
        [1040.,  910.]]], dtype=float32),)"
3165,[[4]],"(array([[[1042.,  806.],
        [1155.,  812.],
        [1151.,  918.],
        [1040.,  911.]]], dtype=float32),)"
3205,[[4]],"(array([[[1043.,  805.],
        [1154.,  811.],
        [1150.,  918.],
        [1040.,  911.]]], dtype=float32),)"
3245,[[4]],"(array([[[1042.,  805.],
        [1154.,  811.],
        [1150.,  918.],
        [1039.,  910.]]], dtype=float32),)"
3286,[[4]],"(array([[[1042.,  805.],
        [1154.,  811.],
        [1149.,  918.],
        [1039.,  910.]]], dtype=float32),)"
3326,[[4]],"(array([[[1041.,  805.],
        [1154.,  811.],
        [1149.,  918.],
        [1039.,  910.]]], dtype=float32),)"
3366,[[4]],"(array([[[1041.,  805.],
        [1154.,  811.],
        [1150.,  917.],
        [1039.,  910.]]], dtype=float32),)"
3406,[[4]],"(array([[[1041.,  805.],
        [1153.,  810.],
        [1150.,  917.],
        [1039.,  910.]]], dtype=float32),)"
3446,[[4]],"(array([[[1041.,  805.],
        [1153.,  810.],
        [1150.,  917.],
        [1039.,  910.]]], dtype=float32),)"
3486,[[4]],"(array([[[1042.,  804.],
        [1154.,  810.],
        [1149.,  917.],
        [1040.,  910.]]], dtype=float32),)"
3526,[[4]],"(array([[[1042.,  803.],
        [1154.,  809.],
        [1150.,  916.],
        [1040.,  909.]]], dtype=float32),)"
3566,[[4]],"(array([[[1042.,  803.],
        [1153.,  808.],
        [1150.,  915.],
        [1039.,  908.]]], dtype=float32),)"
3606,[[4]],"(array([[[1041.,  803.],
        [1153.,  808.],
        [1150.,  915.],
        [1039.,  908.]]], dtype=float32),)"
3646,[[4]],"(array([[[1041.,  804.],
        [1153.,  808.],
        [1149.,  916.],
        [1040.,  909.]]], dtype=float32),)"
3686,[[4]],"(array([[[1041.,  804.],
        [1154.,  809.],
        [1150.,  916.],
        [1040.,  909.]]], dtype=float32),)"
3726,[[4]],"(array([[[1042.,  804.],
        [1154.,  810.],
        [1150.,  916.],
        [1040.,  910.]]], dtype=float32),)"
3766,[[4]],"(array([[[1041.,  805.],
        [1153.,  809.],
        [1149.,  917.],
        [1040.,  911.]]], dtype=float32),)"
