x_T,y_T,d_T,FaceA_T,FaceP_T,x_A,y_A,d_A,FaceT_A,FaceP_A,x_P,y_P,d_P,FaceT_P,FaceA_P,mutualGaze_TA,mutualGaze_TP,mutualGaze_AP,jointGazeT_AP,jointGazeA_TP,jointGazeP_TA,jointGazeTsp_AP,jointGazeAsp_TP,jointGazePsp_TA,sp_T,sp_A,sp_P
341.67073170731703,395.75,523.2852869783367,0.0,0.0,-520.0,368.5,637.3325159393229,1.0,0.0,510.25,342.25,614.4024445062346,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
348.3536585365854,388.75,524.1310446563566,0.0,0.0,-521.0,367.5,637.5713685541408,1.0,0.0,512.0,341.5,615.4399458721505,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
355.0365853658536,381.75,524.9768023343765,0.0,0.0,-520.5,366.5,636.586600550153,1.0,0.0,512.0,341.5,615.4399458721505,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
361.719512195122,374.75,525.8225600123966,0.0,0.0,-521.5,365.0,636.5435844373361,1.0,0.0,513.0,341.75,616.4106320317426,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
368.4024390243902,367.75,526.6683176904166,0.0,0.0,-522.5,366.5,638.22380887092,1.0,0.0,514.75,341.5,617.7298117813891,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
375.0853658536586,360.75,527.5140753684366,0.0,0.0,-532.0,388.5,658.7575102957217,1.0,0.0,515.5,341.0,618.0787377801735,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
381.7682926829268,353.75,528.3598330464565,0.0,0.0,-527.5,392.5,657.5047528345327,1.0,0.0,516.5,341.0,618.9130196488995,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
388.4512195121951,346.75,529.2055907244765,0.0,0.0,-526.75,393.25,657.3518785322028,1.0,0.0,518.0,341.75,620.5783225450494,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
395.1341463414634,339.75,530.0513484024964,0.0,0.0,-524.25,394.25,655.950552598935,1.0,0.0,518.75,342.5,621.6171405775224,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
401.8170731707317,332.75,530.8971060805163,0.0,0.0,-524.0,394.25,655.7507929148567,1.0,0.0,519.0,343.5,622.3772359647821,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
408.5,325.75,531.7428637585363,0.0,0.0,-522.25,394.5,654.5040235616502,1.0,0.0,520.0,345.0,624.0392615853589,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
415.1829268292683,318.75,532.5886214365562,0.0,0.0,-521.5,395.5,654.5098432101623,1.0,0.0,520.5,345.5,624.7324038838311,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
421.8658536585366,311.75,533.4343791145761,0.0,0.0,-528.0,402.25,663.7691357447947,1.0,0.0,519.0,345.0,623.2062410006699,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
428.5487804878049,304.75,534.2801367925961,0.0,0.0,-587.5,377.75,698.4636152023292,0.0,0.0,518.0,343.0,621.2672532815487,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
435.2317073170732,297.75,535.125894470616,0.0,0.0,-584.75,375.25,694.7990104004903,1.0,0.0,518.0,343.5,621.5435814508447,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
441.9146341463414,290.75,535.9716521486359,0.0,0.0,-583.25,374.0,692.8611554351107,1.0,0.0,518.0,342.5,620.9914846047704,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
448.5975609756098,283.75,536.8174098266559,0.0,0.0,-582.75,373.0,691.9008064568452,1.0,0.0,511.0,345.0,616.6006618082328,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
455.280487804878,276.75,537.6631675046759,0.0,0.0,-557.6428571428571,355.2142857142857,661.1686481230613,1.0,0.0,502.5,350.0,612.3776762217342,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
461.9634146341463,269.75,538.508925182696,0.0,0.0,-544.2142857142858,348.07142857142856,646.0086592926257,0.0,0.0,502.5,348.0,611.2401116704384,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
468.6463414634146,262.75,539.3546828607159,0.0,0.0,-530.7857142857142,340.92857142857144,630.8486704621901,0.0,0.0,503.0,346.0,610.5120801425636,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
475.3292682926829,255.75,540.2004405387358,0.0,0.0,-517.3571428571429,333.7857142857143,615.6886816317544,0.0,0.0,511.0,346.0,617.1306849326855,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
419.25,321.25,528.3068857852624,0.0,0.0,-536.0,333.0,631.0814190252568,1.0,0.0,517.875,342.25,620.7521882269496,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0
479.5,326.5,580.199112281646,0.0,0.0,-539.5,383.5,661.9179477418588,1.0,0.0,505.0,351.0,615.0023880417617,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
516.0,346.0,621.26798707085,0.0,0.0,-538.0,383.5,660.6957713783537,1.0,0.0,508.75,350.0,617.5191166453087,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
502.0,355.5,615.3606530553877,0.0,0.0,-537.5,389.5,663.7895246924043,1.0,0.0,506.25,351.0,616.027795732581,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0
517.5833333333333,318.33333333333337,607.6421324086853,0.0,0.0,-540.0,390.5,666.4010056477946,1.0,0.0,507.75,349.5,616.4108078246147,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
511.9166666666667,315.66666666666663,601.4193291632388,0.0,0.0,-540.0,390.5,666.4010910524185,1.0,0.0,507.0,350.5,616.3600683710982,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
506.25,313.0,595.1965259177923,0.0,0.0,-555.0,388.5,677.575300402562,1.0,0.0,507.75,351.0,617.260951874937,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
482.0,306.5,571.2393482576032,0.0,0.0,-576.0,387.0,693.9344349432445,1.0,0.0,508.0,351.0,617.4665982869033,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
482.0,317.0,577.2228546080339,0.0,0.0,-576.5,390.5,696.3064493247725,1.0,0.0,509.0,350.5,618.0060028722901,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
502.0,319.0,594.8032996359249,0.0,1.0,-576.5,391.5,696.867647131852,1.0,0.0,509.25,351.25,618.637635419092,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
506.5,318.5,598.318456440548,0.0,1.0,-577.0,393.0,698.1247530173858,1.0,0.0,509.25,350.75,618.3544396559319,1.0,0.0,0,1,0,1,0,0,1,0,0,1,0,0
454.5,354.0,576.1455937936433,0.0,0.0,-581.5,399.0,705.2257936110325,1.0,0.0,509.75,350.25,618.4822114202772,1.0,0.0,0,1,0,1,0,0,1,0,0,1,0,0
457.0,336.5,567.5327904576401,0.0,1.0,-584.125,404.5,710.511243427952,1.0,0.0,509.75,350.75,618.7654071834372,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
460.75,331.75,567.7885720907449,0.0,1.0,-565.75,383.7142857142857,683.6144224611483,1.0,0.0,510.0,351.75,619.5386909766789,1.0,0.0,0,1,0,1,0,0,1,0,0,1,0,0
480.25,325.5,580.1940255182672,0.0,1.0,-552.75,380.57142857142856,671.1429177322809,0.0,0.0,516.5,350.5,624.2187882059609,1.0,0.0,0,1,0,1,0,0,1,0,0,1,0,0
490.75,317.5,584.5025141408073,0.0,1.0,-539.75,377.42857142857144,658.6714130034137,0.0,0.0,522.0,350.0,628.4775254533769,1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
492.5,305.5,579.5715733995335,0.0,1.0,-526.75,374.2857142857143,646.1999082745464,0.0,0.0,524.0,349.5,629.8621491833932,1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
416.59375,249.375,485.73465464585627,0.0,0.0,-530.5,380.75,652.9940661559563,1.0,0.0,512.5,354.5,623.1585519793925,1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
442.96875,246.875,507.8401206624061,0.0,0.0,-544.0,387.75,668.0478545390558,1.0,0.0,526.0,349.5,631.5269800797274,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
469.34375,244.375,529.9455866789558,0.0,0.0,-545.5,379.5,664.5282971176227,1.0,0.0,528.0,349.0,632.9178461696273,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
495.71875,241.875,552.0510526955056,0.0,0.0,-543.5,365.5,655.0201247362519,1.0,0.0,528.0,348.0,632.366982060259,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
507.0,256.0,568.8318099425121,0.0,0.0,-546.25,361.0,654.7643152375242,1.0,0.0,528.0,346.5,631.542753897153,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
