x_T x_P y_T y_P d_T d_P FaceP_T FaceT_P
460.75 510.0 331.75 351.75 567.7885720907449 619.5386909766789 1.0 1.0
480.25 516.5 325.5 350.5 580.1940255182672 624.2187882059609 1.0 1.0
490.75 522.0 317.5 350.0 584.5025141408073 628.4775254533769 1.0 1.0
492.5 524.0 305.5 349.5 579.5715733995335 629.8621491833932 1.0 1.0
416.59375 512.5 249.375 354.5 485.73465464585627 623.1585519793925 0.0 1.0
442.96875 526.0 246.875 349.5 507.8401206624061 631.5269800797274 0.0 1.0
469.34375 528.0 244.375 349.0 529.9455866789558 632.9178461696273 0.0 1.0
495.71875 528.0 241.875 348.0 552.0510526955056 632.366982060259 0.0 1.0
507.0 528.0 256.0 346.5 568.8318099425121 631.542753897153 0.0 1.0
456.0 530.0 327.75 345.0 562.6043843831484 632.3969721821873 0.0 1.0
325.42499999999995 532.0 337.1 348.5 528.1650940162747 635.9846106097455 0.0 1.0
185.32500000000002 533.0 317.9 347.0 491.3559052113044 636.002814642785 0.0 1.0
45.22500000000002 532.0 298.7 345.5 454.5467164063341 634.3457816777595 0.0 1.0
-94.87499999999997 533.0 279.5 345.25 417.7375276013639 635.0484816558572 0.0 1.0
-234.97499999999997 532.5 260.3 347.0 380.92833879639363 635.5833391152704 0.0 1.0
-374.5 529.5 253.0 347.0 452.35264781431147 633.0725266657294 0.0 1.0
-531.0 520.5 298.5 355.75 609.17996541442 630.4612336136181 0.0 1.0
-495.0 523.0 280.0 353.75 568.766917205786 631.401852921982 0.0 1.0
-453.0 523.0 280.5 352.75 532.8199109797067 630.8421351830796 0.0 1.0
-447.0 521.5 285.0 352.75 530.1264359749221 629.5989639290913 0.0 1.0
-462.5 520.25 286.0 352.0 543.8111507901956 628.143405273046 0.0 1.0
-454.5 517.75 290.5 354.0 539.4078142193869 627.2010333937412 0.0 1.0
-455.0 516.75 289.5 354.5 539.2914551005892 626.658593261718 0.0 1.0
-455.5 517.25 289.0 353.75 539.4453169691994 626.6475906750923 0.0 1.0
-455.5 517.5 288.5 354.0 539.1777799798127 626.9946172017748 0.0 1.0
-454.5 518.0 288.5 354.0 538.3333838257288 627.407427106169 0.0 1.0
-454.5 519.5 288.5 353.75 538.3331420234897 628.5056524809348 0.0 1.0
-453.5 521.25 288.5 353.0 537.4892352164225 629.5325718113384 0.0 1.0
-451.0 523.5 289.0 352.25 535.6510737161902 630.9774554038196 0.0 1.0
-485.0 525.25 292.0 351.0 566.3369637329238 631.7345817620892 0.0 1.0
-523.0 526.75 289.5 350.5 597.7799527706235 632.7052154513048 0.0 1.0
-536.5 528.75 282.5 350.0 606.3380229405977 634.0952088417871 0.0 1.0
-543.0 530.75 277.0 349.5 609.572342171022 635.4888831592493 0.0 1.0
-542.0 532.0 274.0 349.0 607.3223619443829 636.2591446315744 0.0 1.0
-540.5 532.5 271.0 349.5 604.6331532539779 636.9509562252402 0.0 1.0
-528.5 514.0 266.0 345.0 591.6656572835273 619.0790625703501 0.0 1.0
-525.0 488.0 266.5 286.75 588.7676096660589 571.3979704820156 0.0 0.0
-552.0 476.0 293.0 214.41666666666669 625.0306972066508 529.6146895510828 0.0 0.0
-571.5 464.0 310.5 142.08333333333334 650.4031343781357 487.8314086201499 0.0 0.0
-574.0 497.75 313.5 281.25 654.0336323401798 571.7148120246145 0.0 0.0
-585.0 514.0 285.5 341.5 651.6047320509824 617.1049723734789 0.0 1.0
-580.5 511.5 254.5 338.5 633.8406517315296 613.3632691969743 0.0 1.0
-584.0 514.0 255.0 338.25 637.244882311391 615.315004524201 0.0 1.0
-587.0 524.75 256.5 345.5 640.5947888134059 628.2827143454979 0.0 1.0
-584.5 524.0 259.0 348.0 639.31310795259 629.0312441095787 0.0 1.0
-584.0 512.75 260.5 346.75 639.4659381222732 618.998238777011 0.0 1.0
-584.0 503.25 262.5 350.75 640.2832864978607 613.4223431764249 0.0 1.0
-584.0 499.5 264.0 352.0 640.8999552276148 611.0681901029604 0.0 1.0
-582.5 505.75 267.5 345.5 640.9855692603384 612.5709212068365 0.0 1.0
-583.0 515.5 269.0 339.75 642.067317505474 617.3902369311661 0.0 1.0
