x_T x_A y_T y_A d_T d_A FaceA_T FaceT_A
482.0 -576.5 317.0 390.5 577.2228546080339 696.3064493247725 0.0 1.0
502.0 -576.5 319.0 391.5 594.8032996359249 696.867647131852 0.0 1.0
506.5 -577.0 318.5 393.0 598.318456440548 698.1247530173858 0.0 1.0
454.5 -581.5 354.0 399.0 576.1455937936433 705.2257936110325 0.0 1.0
457.0 -584.125 336.5 404.5 567.5327904576401 710.511243427952 0.0 1.0
460.75 -565.75 331.75 383.7142857142857 567.7885720907449 683.6144224611483 0.0 1.0
480.25 -552.75 325.5 380.57142857142856 580.1940255182672 671.1429177322809 0.0 0.0
490.75 -539.75 317.5 377.42857142857144 584.5025141408073 658.6714130034137 0.0 0.0
492.5 -526.75 305.5 374.2857142857143 579.5715733995335 646.1999082745464 0.0 0.0
416.59375 -530.5 249.375 380.75 485.73465464585627 652.9940661559563 0.0 1.0
442.96875 -544.0 246.875 387.75 507.8401206624061 668.0478545390558 0.0 1.0
469.34375 -545.5 244.375 379.5 529.9455866789558 664.5282971176227 0.0 1.0
495.71875 -543.5 241.875 365.5 552.0510526955056 655.0201247362519 0.0 1.0
507.0 -546.25 256.0 361.0 568.8318099425121 654.7643152375242 0.0 1.0
456.0 -548.5 327.75 359.5 562.6043843831484 655.814436501325 0.0 1.0
325.42499999999995 -542.5 337.1 361.25 528.1650940162747 651.7729152086175 0.0 1.0
185.32500000000002 -539.0 317.9 369.75 491.3559052113044 653.6505187912253 0.0 1.0
45.22500000000002 -536.75 298.7 378.75 454.5467164063341 656.9300591887061 0.0 1.0
-94.87499999999997 -571.5 279.5 363.5 417.7375276013639 677.3083682910421 0.0 1.0
-234.97499999999997 -580.5 260.3 377.0 380.92833879639363 692.1786513604453 0.0 1.0
-374.5 -579.5 253.0 378.5 452.35264781431147 692.1579117215092 0.0 1.0
-531.0 -580.0 298.5 379.0 609.17996541442 692.8508017599233 0.0 1.0
-495.0 -578.5 280.0 375.0 568.766917205786 689.4107991611388 1.0 1.0
-453.0 -584.0 280.5 379.0 532.8199109797067 696.201891758465 1.0 1.0
-447.0 -585.0 285.0 375.0 530.1264359749221 694.8740893140282 1.0 1.0
-462.5 -586.5 286.0 371.0 543.8111507901956 693.9908655352979 1.0 1.0
-454.5 -587.0 290.5 366.5 539.4078142193869 692.0198189925977 1.0 1.0
-455.0 -587.5 289.5 363.0 539.2914551005892 690.5977556111749 1.0 1.0
-455.5 -529.0 289.0 356.5 539.4453169691994 637.9150398581874 1.0 0.0
-455.5 -530.0 288.5 352.5 539.1777799798127 636.518913051169 1.0 1.0
-454.5 -529.5 288.5 351.0 538.3333838257288 635.2725792917556 1.0 1.0
-454.5 -528.0 288.5 351.5 538.3331420234897 634.2999473658119 1.0 1.0
-453.5 -527.0 288.5 352.5 537.4892352164225 634.0236122527617 1.0 1.0
