d_T d_A d_P
528.1650940162747 651.7729152086175 635.9846106097455
491.3559052113044 653.6505187912253 636.002814642785
454.5467164063341 656.9300591887061 634.3457816777595
417.7375276013639 677.3083682910421 635.0484816558572
380.92833879639363 692.1786513604453 635.5833391152704
452.35264781431147 692.1579117215092 633.0725266657294
609.17996541442 692.8508017599233 630.4612336136181
568.766917205786 689.4107991611388 631.401852921982
532.8199109797067 696.201891758465 630.8421351830796
530.1264359749221 694.8740893140282 629.5989639290913
543.8111507901956 693.9908655352979 628.143405273046
539.4078142193869 692.0198189925977 627.2010333937412
539.2914551005892 690.5977556111749 626.658593261718
539.4453169691994 637.9150398581874 626.6475906750923
539.1777799798127 636.518913051169 626.9946172017748
538.3333838257288 635.2725792917556 627.407427106169
538.3331420234897 634.2999473658119 628.5056524809348
537.4892352164225 634.0236122527617 629.5325718113384
535.6510737161902 628.851302858394 630.9774554038196
566.3369637329238 629.5811450946509 631.7345817620892
597.7799527706235 629.2118721730792 632.7052154513048
606.3380229405977 627.3368084049864 634.0952088417871
609.572342171022 665.8162208909578 635.4888831592493
607.3223619443829 664.0030120413611 636.2591446315744
604.6331532539779 663.3027284754128 636.9509562252402
591.6656572835273 662.0008758584358 619.0790625703501
588.7676096660589 661.7002720265423 571.3979704820156
625.0306972066508 660.4001893617561 529.6146895510828
650.4031343781357 659.0003112154704 487.8314086201499
654.0336323401798 659.9025766385156 571.7148120246145
651.6047320509824 665.9298011051916 617.1049723734789
633.8406517315296 673.0739815072664 613.3632691969743
637.244882311391 671.741269851387 615.315004524201
640.5947888134059 657.1548523749939 628.2827143454979
639.31310795259 648.2641566439536 629.0312441095787
639.4659381222732 648.7121576347877 618.998238777011
640.2832864978607 651.9733522705201 613.4223431764249
640.8999552276148 651.5604018886743 611.0681901029604
640.9855692603384 649.2168484756899 612.5709212068365
642.067317505474 652.727115278884 617.3902369311661
656.9330562808456 659.9752254184182 620.3242552525344
635.7147943212658 661.5302959738631 622.6687184457437
639.0913783645841 656.8586055787698 624.0990479386296
632.1376796603749 652.5766238534752 627.2550493382561
631.0517016314843 648.6803247795294 625.5054559902622
614.1184689659725 649.3445442912632 606.3663588246407
588.5587849571576 629.7678392937446 621.3215194573515
576.0251878868442 620.8239805007412 617.8799196841667
578.373864596348 621.1159312076933 616.422333802414
588.4728581622974 621.2956911259516 587.1146832788774
593.1520917746845 621.1159312076933 593.6022084976044
595.9998159767975 621.0533390941554 591.9431884742769
602.4785655889378 622.1576692155978 591.4566608847415
583.4336873052739 623.72930827403 590.6194439519243
571.9665262423104 626.521362643183 589.5104058852735
560.4993651793468 641.1463661848736 587.9185703819046
