x_A x_P y_A y_P d_A d_P FaceP_A FaceA_P
512.0 528.75 362.5 350.0 627.3368084049864 634.0952088417871 0.0 0.0
530.0 530.75 403.0 349.5 665.8162208909578 635.4888831592493 0.0 0.0
530.0 532.0 400.0 349.0 664.0030120413611 636.2591446315744 0.0 0.0
529.5 532.5 399.5 349.5 663.3027284754128 636.9509562252402 0.0 0.0
529.0 514.0 398.0 345.0 662.0008758584358 619.0790625703501 0.0 0.0
529.0 488.0 397.5 286.75 661.7002720265423 571.3979704820156 0.0 0.0
528.5 476.0 396.0 214.41666666666669 660.4001893617561 529.6146895510828 0.0 0.0
527.5 464.0 395.0 142.08333333333334 659.0003112154704 487.8314086201499 0.0 0.0
529.0 497.75 394.5 281.25 659.9025766385156 571.7148120246145 0.0 0.0
536.5 514.0 394.5 341.5 665.9298011051916 617.1049723734789 0.0 0.0
547.5 511.5 391.5 338.5 673.0739815072664 613.3632691969743 0.0 0.0
548.0 514.0 388.5 338.25 671.741269851387 615.315004524201 0.0 0.0
536.5 524.75 379.5 345.5 657.1548523749939 628.2827143454979 0.0 0.0
529.5 524.0 374.0 348.0 648.2641566439536 629.0312441095787 0.0 0.0
532.5 512.75 370.5 346.75 648.7121576347877 618.998238777011 0.0 0.0
537.5 503.25 369.0 350.75 651.9733522705201 613.4223431764249 0.0 0.0
537.0 499.5 369.0 352.0 651.5604018886743 611.0681901029604 0.0 0.0
534.5 505.75 368.5 345.5 649.2168484756899 612.5709212068365 0.0 0.0
536.0 515.5 372.5 339.75 652.727115278884 617.3902369311661 0.0 0.0
541.0 519.5 378.0 339.0 659.9752254184182 620.3242552525344 0.0 0.0
541.5 523.75 380.0 336.75 661.5302959738631 622.6687184457437 0.0 0.0
534.0 526.25 382.5 335.5 656.8586055787698 624.0990479386296 0.0 0.0
528.0 531.25 383.5 333.5 652.5766238534752 627.2550493382561 0.0 0.0
525.0 530.75 381.0 331.0 648.6803247795294 625.5054559902622 0.0 0.0
524.0 510.25 383.5 327.5 649.3445442912632 606.3663588246407 0.0 0.0
508.5 528.0 371.5 327.5 629.7678392937446 621.3215194573515 0.0 0.0
504.0 525.5 362.5 325.0 620.8239805007412 617.8799196841667 0.0 0.0
504.0 524.25 363.0 324.25 621.1159312076933 616.422333802414 0.0 0.0
